SALES_ID,SALES_REP,EMAILS,BRANDS,PLANT_COST,UNIT_PRICE,QUANTITY,COST,PROFIT,COUNTRIES,REGION ,MONTHS,YEARS
10101,Jardine,jard@gmail.com,trophy,150,200,725,145000,36250,Ghana,Southeast,January,2019
10102,Gill,gillhell@uk.com,budweiser,250,500,815,407500,203750,Nigeria,west,February,2018
10103,Sorvino,sorvi2000@gmail.com,castle lite,180,450,937,421650,252990,Togo,southsouth,March,2018
10104,Jones,jone.ai@yahoo.com,eagle lager,170,250,765,191250,61200,Benin,northwest,April,2018
10105,Andrews,andy@gmail.com,hero,150,200,836,167200,41800,Senegal,northeast ,May,2017
10106,Jardine,jard@gmail.com,beta malt,80,150,798,119700,55860,Ghana,northcentral ,June,2019
10107,Thompson,thomp@uk.com,grand malt,90,150,954,143100,57240,Nigeria,Southeast,July,2017
10108,Jones,jone.ai@yahoo.com,trophy,150,200,812,162400,40600,Togo,west,August,2018
10109,Morgan,morganny@gmail.com,budweiser,250,500,700,350000,175000,Benin,southsouth,September,2019
10110,Howard,howard_freeman@yahoo.com,castle lite,180,450,745,335250,201150,Senegal,northwest,October,2017
10111,Parent,parentty@uk.com,eagle lager,170,250,861,215250,68880,Ghana,northeast ,November,2017
10112,Jones,jone.ai@yahoo.com,hero,150,200,902,180400,45100,Nigeria,northcentral ,December,2019
10113,Smith,smithMan@yahoo.com,beta malt,80,150,731,109650,51170,Togo,Southeast,January,2018
10114,Jones,jone.ai@yahoo.com,grand malt,90,150,843,126450,50580,Benin,west,February,2017
10115,Morgan,morganny@gmail.com,trophy,150,200,939,187800,46950,Senegal,southsouth,March,2018
10116,Jones,jone.ai@yahoo.com,budweiser,250,500,709,354500,177250,Ghana,northwest,April,2019
10117,Parent,parentty@uk.com,castle lite,180,450,837,376650,225990,Nigeria,northeast ,May,2017
10118,Kivell,kivel_go@yahoo.com,eagle lager,170,250,910,227500,72800,Togo,northcentral ,June,2018
10119,Smith,smithMan@yahoo.com,hero,150,200,996,199200,49800,Benin,Southeast,July,2019
10120,Parent,parentty@uk.com,beta malt,80,150,731,109650,51170,Senegal,west,August,2017
10121,Gill,gillhell@uk.com,grand malt,90,150,898,134700,53880,Ghana,southsouth,September,2017
10122,Smith,smithMan@yahoo.com,trophy,150,200,860,172000,43000,Nigeria,northwest,October,2018
10123,Jones,jone.ai@yahoo.com,budweiser,250,500,859,429500,214750,Togo,northeast ,November,2017
10124,Sorvino,sorvi2000@gmail.com,castle lite,180,450,857,385650,231390,Benin,northcentral ,December,2017
10125,Jardine,jard@gmail.com,eagle lager,170,250,715,178750,57200,Senegal,Southeast,January,2018
10126,Andrews,andy@gmail.com,hero,150,200,999,199800,49950,Ghana,west,February,2018
